id,Zconservrepub,scicomp_i,GWRISK,NUKERISK
183,1.7505523,1.1458,2,3
184,0.04450736,-0.8121,6,7
185,1.7505523,0.4312,5,2
186,0.76947828,0.4432,2,3
187,0.04450736,-0.2043,2,7
188,0.55671364,-1.1495,3,7
189,1.2383461,1.2525,0,1
190,0.47003664,-0.4094,6,6
191,0.2139335,-0.538,0,7
192,0.3006105,2.074,3,2
193,1.7505523,-0.436,1,6
194,0.04450736,1.6983,7,2
195,1.7505523,0.0204,6,2
196,1.7505523,1.6983,2,3
197,1.7505523,-0.2573,2,4
198,0.04450736,1.2884,3,2
199,1.0255814,-0.9691,2,7
200,1.7505523,0.075,1,1
201,1.7505523,-0.3838,1,2
202,0.76947828,1.1458,4,2
203,1.2816846,0.075,6,5
204,1.0255814,-1.7563,1,3
205,1.0255814,-0.8884,7,5
206,0.76947828,0.4704,2,3
207,0.51337514,1.2983,4,1
208,0.04450736,-0.5726,6,1
209,1.2816846,-0.2196,2,5
210,0.76947828,1.6267,2,4
211,0.51337514,-0.7077,7,5
212,1.2816846,1.3009,5,3
213,1.7505523,1.6796,4,7
214,0.55671364,1.4929,5,4
215,1.2816846,-0.6561,1,4
216,1.2816846,1.5255,1,4
217,0.51337514,0.2748,1,1
218,1.0255814,1.6031,1,2
219,1.7505523,0.3132,0,2
220,0.98224292,0.3581,1,0
221,1.2383461,1.9115,0,4
222,0.04450736,1.5788,2,3
223,1.0255814,0.3415,0,1
224,0.04450736,0.2222,4,3
225,1.7505523,1.3021,1,2
226,1.7505523,-0.2299,0,1
227,0.04450736,-0.184,3,4
228,0.98224292,-0.0469,3,6
229,0.55671364,-0.7077,3,3
230,0.3006105,-0.471,3,4
231,0.3006105,-0.37,0,5
232,1.2816846,0.2968,0,3
233,0.98224292,-1.7761,4,3
234,0.04450736,0.2569,4,4
235,1.2816846,1.1316,1,2
236,1.2816846,-0.0972,0,6
237,0.76947828,0.3163,1,4
238,0.76947828,1.099,1,2
239,1.4944492,0.8165,1,3
240,1.7505523,0.1893,4,5
241,1.2816846,0.5195,0,7
242,1.7505523,0.2434,3,1
243,1.7505523,0.6558,1,4
244,1.7505523,-2.092,,6
245,0.81281678,0.2259,4,2
246,0.04450736,-0.7894,0,6
247,0.81281678,0.8379,3,4
248,1.7505523,1.1095,0,1
249,1.7505523,-0.1844,0,4
250,1.7505523,0.672,0,1
251,0.3006105,2.0705,1,2
252,0.08784585,-0.335,5,5
253,0.04450736,-0.2043,3,7
254,0.98224292,-0.5779,0,4
255,1.4944492,-0.177,0,7
256,1.7505523,-0.4872,1,3
257,1.2383461,1.3021,4,5
258,1.2816846,-0.1514,1,3
259,1.7505523,-0.3061,1,7
260,0.76947828,0.7559,2,4
261,1.0255814,-0.0664,3,4
